time,cpu,mem,diskRand,diskSeq,fork,uplink
1670361140,1416.45,11603.30,142.01,178.46,2413.37929577464788732394,37759
1670361502,1410.87,11633.99,141.81,179.03,2385.97957746478873239436,37529
1670361865,1397.04,11644.79,141.69,179.61,2376.90728571428571428571,37551
1670362227,1425.74,11663.22,141.80,179.36,2464.93408450704225352112,37743
1670362589,1424.24,11664.38,141.36,177.77,2377.60100000000000000000,37308
1670362951,1411.61,11474.46,141.46,178.07,2556.53123287671232876712,38337
1670363313,1394.84,11355.74,143.14,181.45,2397.20197183098591549295,37451
1670363676,1428.07,11408.40,142.09,179.55,2414.88083333333333333333,43355
1670364039,1415.49,11681.03,142.13,180.48,2389.53887323943661971830,39160
1670364402,1412.08,11705.36,142.20,180.80,2368.46605633802816901408,37774
